Depth m,Bulk Den. [g/cm3],Grain den. (g/cm3),Porosity,Void ratio,Vp [km/s]
442.08,1.979,2.825,0.47,0.886,1.7507753349250044
446.86,1.944,2.849,0.496,0.985,1.7099284160783923
451.18,2.099,2.852,0.41200000000000003,0.701,1.8660179206492113
461.01,1.956,2.894,0.501,1.006,1.7027268862216265
420.68,1.49,2.533,0.691,2.239,1.5398848461401777
423.76,1.979,2.896,0.49,0.959,1.718838956777708
430.03,1.875,2.885,0.5429999999999999,1.188,1.6495869326182997
431.45,2.064,2.804,0.41600000000000004,0.712,1.8568381787202408
438.03,2.079,2.788,0.402,0.673,1.8898691520918542
439.65,1.971,2.851,0.48200000000000004,0.93,1.7311908885237957
457.49,2.066,2.794,0.41100000000000003,0.698,1.8683445316172338
457.94,1.79,2.873,0.586,1.413,1.6069263571772898
467.2,1.999,2.805,0.45299999999999996,0.828,1.7808364799768661
467.59,1.975,2.816,0.469,0.883,1.7524667357787822
478.81,1.805,2.846,0.5710000000000001,1.331,1.620607894135208
481.78,2.878,3.886,0.35200000000000004,0.544,2.030958159696195
484.85,1.793,2.862,0.581,1.389,1.611352585538319
487.08,2.014,2.833,0.45299999999999996,0.827,1.7808364799768661
488.33,2.145,2.9,0.402,0.673,1.8898691520918542
489.29,1.783,2.911,0.598,1.486,1.596828311861748
496.23,1.751,2.968,0.626,1.676,1.5759533908001058
498.56,1.936,2.853,0.502,1.007,1.7013105081897053
500.45,1.963,2.876,0.493,0.972,1.7143465382428797
507.66,1.864,2.823,0.5329999999999999,1.142,1.6611199000216854
509.07,1.879,2.835,0.528,1.118,1.6671369187851681
516.52,2.041,2.828,0.436,0.773,1.8138451478119917
517.87,2.078,2.867,0.428,0.749,1.8304780718375684
519.45,1.942,2.841,0.495,0.98,1.7113929393158773
525.46,1.882,2.877,0.537,1.16,1.6564277367586289
526.7,2.0,2.822,0.457,0.842,1.7735079748003901
527.61,2.015,2.844,0.455,0.836,1.7771520623761887
535.07,1.96,2.873,0.494,0.975,1.7128656325896934
544.76,2.084,2.919,0.441,0.787,1.8038146052850075
555.24,2.026,2.883,0.461,0.856,1.7663390800914263
564.16,2.015,2.824,0.449,0.816,1.788328046870471
565.63,1.96,2.84,0.485,0.941,1.7264945959717042
574.46,2.016,2.788,0.43799999999999994,0.779,1.809799842912066
575.56,1.994,2.802,0.45399999999999996,0.833,1.7789892029208096
584.81,2.077,2.766,0.396,0.655,1.9048216663628013
585.61,2.012,2.855,0.461,0.854,1.7663390800914263
586.58,2.016,2.934,0.48100000000000004,0.925,1.7327737408553638
595.0,1.979,2.809,0.465,0.87,1.7593264287801882
597.13,2.032,2.847,0.447,0.809,1.7921360805480757
603.11,1.988,2.892,0.484,0.938,1.7280513614890436
614.8,2.072,2.847,0.425,0.74,1.8369062007924541
617.64,1.65,2.738,0.635,1.739,1.5699841102056262
622.62,1.961,2.786,0.46799999999999997,0.88,1.754167495819254
623.13,2.026,2.822,0.44299999999999995,0.795,1.799878900813735
632.32,2.031,2.859,0.451,0.822,1.7845616616564133
641.96,2.048,2.85,0.439,0.784,1.8077937941360198
643.1,1.439,3.031,0.7929999999999999,3.841,1.5097397981388772
644.39,1.471,2.984,0.772,3.385,1.5138070604681058
655.02,2.938,3.013,0.037000000000000005,0.039,4.796972378491275
661.13,1.557,3.632,0.795,3.889,1.5094025170784584
662.98,1.962,2.922,0.506,1.023,1.6957234007729052
664.73,2.089,2.788,0.396,0.657,1.9048216663628013
671.09,1.683,2.448,0.537,1.16,1.6564277367586289
671.75,2.52,3.147,0.295,0.419,2.247499020364483
672.49,1.963,2.83,0.48,0.924,1.7343653800688834
680.86,2.034,2.807,0.434,0.766,1.8179351317297556
681.7,1.811,3.017,0.605,1.533,1.5912673135594448
682.3,2.03,2.79,0.43,0.756,1.8262510961660277
690.7,2.042,2.824,0.435,0.769,1.8158845245138304
693.7,2.061,2.824,0.424,0.736,1.8390725449588028
694.36,1.438,2.081,0.608,1.55,1.5889558329612747
700.84,2.076,2.797,0.406,0.685,1.8801711795786153
701.58,2.123,2.93,0.423,0.734,1.8412508146668731
704.65,1.933,2.984,0.536,1.156,1.6575907907330403
706.62,1.608,2.648,0.64,1.781,1.5668137409879723
